Name,User,Message,Profile,Character Art,Character Bio Link,Character Sheet Link,Class List,Embed Color,Level,Origin,Other Names,Physical Description,Quirks,Rare Equipment,Related Arcana,Story Summary,Theme
Fabri Caetspells,184433219079372800,1362066218768531712,25ff46b2-5fd0-4824-ace5-8f4a36ea8a36,https://i.imgur.com/2MzQkh7.jpeg,,https://docs.google.com/spreadsheets/d/1yR3hxe9r7p9E9iStxGtbCKHqrsUWp5IgBcZKcAKT4nA/edit?gid=0#gid=0,"Tinkerer 5
Elementalist 1
Wayfarer 3",fdf900,9,"southrock, Terra",,"A smaller slightly wider woman with sparkly eyes and large poofy curly hair tied back with blue highlights in it. She is dressed as a lightning themed magical girl with slight Mechanical accessories, including her gloves that has her magispheres inside. She also has a cute little umbrella as her spellcasting implement",,,,"Comes from a family of rich celebrities from terra
Fabri's mother, Vindi, working for NTT is trying to rebrand magic to become a face of a group and gain even more fame
This skyrocketed the family into even more celebrity status due to controversy
Vindi as part of a magical rebranding stunt claimed that her daughter was a spell caster
Fabri being her oldest child was set up as said spellcaster despite not being able to cast spells
Uncle teaches Fabri to create spells via magisphere
uses it to ""fake it till she made it""
Vindi uses Fabri to try and push magic to be more ""friendly and light hearted"" to change public opinion
uses her connections to make Fabri a storm ""superhero"" as part of her brand
Fabri believes every word of it",Acceptance
Fafnir,95869822574809088,1313200076956372992,4777aea3-bbb9-458e-bed5-7daee4995945,https://cdn.donmai.us/original/e9/08/__leona_and_sunstone_alchemy_stars_drawn_by_blazpu__e9085e1277102360b734535254595356.jpg,,https://docs.google.com/spreadsheets/d/1SMs0XYaWD_F_krUIjt2GMoabmDZbef50Rb59qrF0l9Q/edit,"3 Mutant
1 Darkblade
1 Arcanist",,5,"Idyll, The Fifth Layer Asga",,"Tall with a head of red hair like blood and fire, eyes that smolder like the inside of a volcano. Red scales lineing different parts of her body in clusters from her scaled and clawed hands and around her neck. Two black horns coming from the top that curve and curl into sharpened points along with large black wings that sprout out from the back. She stands at 6'3 normally, constantly radiating warmth and at times under certain situations smells of blood.",,,,,Vengeance
Fang,322198528975962112,1232179513253691392,dca780be-7a3b-4460-a888-bf5c1792ae7e,https://media.discordapp.net/attachments/993669543471874120/1196310328242348083/IMG_0820_removebg.png?ex=663affd0&is=6639ae50&hm=6e6e6e5cbf291bdeb53ab39c73aa245c29dccfe26a8c74af98003682067bbe0d&,,https://docs.google.com/spreadsheets/d/1PimlatDpHKgR7xuCBfehZ7JNW7X-5PFv1ui8YWBA8Is/edit,"Dancer 7, Sharpshooter 2, Rogue 2",,11,Merrane,,"A quite effeminate young man with a lithe build, Fang stands at around 5’4” and 102 lbs. A pair of canine ears poke above a head of light auburn hair, tied back in a ‘stylishly unkempt’ ponytail and pigtails combo. A matching tail often swishes eagerly below any number of cute outfits, many of which were tailored by Fang himself.
He often wears a pair of odd gloves: stylish, but with a dull humming of magitech woven through the fabric that allows him to manipulate the small blades he utilizes in both dressmaking and combat.",,,,,Ambition
Fernia,906579876792918036,1365009975549624320,9bea29b0-abf9-4aaf-9ee7-03d5d51f8553,https://i.imgur.com/NzN3me1.jpeg,[Fernia Bio](https://discord.com/channels/1169852846083153941/1170111183869706362/1313555191999627316),[Fernia Sheet](https://docs.google.com/spreadsheets/d/1iOBi2HbBU3qoJer7Q_GNREECwVDlOPCTMrswUTxbOT0/edit?usp=sharing),Wayfarer ★ | Floralist 2 | Guardian 6 | Weaponmaster 2,#18848E,20,Kor' Tarion - Irathwood,,Pale skin and white hair due to the color being drained from them. Dresses modestly with most of her body covered and has an eye patch over her right eye. Seems to wear several flowers in her hair. But with close impaction or high observation skills can tell those flowers are actually growing from her body.,Aboreal,"Ebonlight Vesture - Otherworldly Veil Runic Armor
Fernia's Parasol - Swordbreaker Runic Shield
Frozen Spark Lantern - Dual Resistance (Ice/Bolt) Runic Shield
Floracord Pendant - Kindred Accessory",,"- Was a simple traveling botanist studying plants.
- Got rumors of strange flowers showing up in the Irathwood and went to investigate.
- While looking for the flowers in the rumors she was attacked by something and blacked out.
- When she awoke she found a flowering plant she did not know had begun growing on her and was holding her injuries together.
- When trying to remove the plant she was inflicted with intense pain that caused her to almost pass out. When she does things this bloom seems displeased with it causes her pain or discomfort.
- Over time the color in her hair and skin began to fade turning white and becoming pale.",Perseverance
Finch,138467756168314881,1175219162948308992,82404162-8c77-483f-a5df-7d2ece63aacc,https://images-ext-1.discordapp.net/external/Ethu6fcjyX-ZsX_8PWiZvfaNlf_rhJO9713Wu7PZ2ow/https/cdn.donmai.us/original/98/4c/__percival_granblue_fantasy_and_1_more_drawn_by_kanapy__984cd1dd15c026aaa950ae10632fc1ee.png,,https://docs.google.com/spreadsheets/d/1HUePIomwrmRhkDLvBf_EGuU9zMANeMQIbipZhIpeJUY/edit?usp=sharing,"Gourmet 2, Loremaster 2, Weaponmaster 1",,5,Kal'Tarion,,"Height: 5'11"" Eyes: Red
Weight: 195 lbs Hair: Light Red
Chest has a scar from his first battle against monsters. It is in the form of 3 claw marks.","Elemental Soul (Fire, Wkn Ice)",,,,Ambition
Finnley,239174959895805954,1177738973167226880,8d603dda-bb18-42a3-990a-f9edb6a62f9d,https://images-ext-1.discordapp.net/external/Li1OpxX-jJ3uTC1K6SMndtsVtt4jcMSBBvCdGQVI04Y/https/i.pinimg.com/564x/8d/91/a5/8d91a528c6b6b28787ab39a3c9e2de08.jpg,,https://docs.google.com/spreadsheets/d/1_CUJI_J8fqezEjXQ5TwDKoGGXjYVgjE81VNA-mRCd3A/edit#gid=0,"Chanter  3
Orator 2",,5,Kor'Tarion,,"An average height individual of slim build adorned in ""stylish"" attire ,and pale hair",,,,,Ambition
Flare,124671590775390208,1219805096515473664,9f9c5259-105d-4729-99f5-e4c3d12b9d03,https://images-ext-1.discordapp.net/external/s2CAjMtZMrkXRdFiC83fZL6_vaNdyel8Ln_HVrJyVPc/https/i.imgur.com/m1LDWXb.png,,https://docs.google.com/spreadsheets/d/1OtHSa1g51KpMxss4BQrBolZZ821BHx_TXnHwQFzY7Hw/edit#gid=0,"Tinkerer 2
Floralist 3
Entropist 2",,7,"Dryholde, Kor'Tarion",,A man who has purple leaves instead of hair. Roots can be seen growing within parts of his skin. He wears a large cloak and long sleeves - likely to hide his unconventional appearance from others.,"The Long Dream
At the end of each session (approximately four hours of play), before assigning XP, roll 2d20. If you roll equal to or lower than your current character level, the last farewell grows closer. When a rule or ability requires you to spend Hit Points, Mind Points, or Fabula Points, you may instead ignore that cost. If you do, the last farewell grows closer; after you ignore a cost this way, if the last farewell has grown closer at least 10 times, the moment has come to leave the world of humans.",,,,Life
Florian Valstrider,492701013380300800,1196133061650300928,8b0d3586-58d9-423e-a91f-f943ec60a218,https://images-ext-1.discordapp.net/external/62ct4S29xTxv5O7ChsfAg8WQa10oE1JXqTKv1wKSRho/https/i.pinimg.com/originals/bb/7b/35/bb7b35eb6ce75776ccc4ef6c8eba896f.jpg,,https://docs.google.com/spreadsheets/d/1ivqBjCuNLESkIka43fydrBaMvUpqZiu3JD4EibKjuKM/edit#gid=0,"Elementalist 2
Pilot 2
Chimerist 1",,5,"Forest Home, Merrane, Lhodos",,"Moderately tall, and wiry for a would-be soldier, Florian dresses in a variety of well-tailored paints and vests with a long formal coat. Soft leather boots, suited for hiking, are the only part of his outfit that would suggest he was anything different than the average Merrani young noble or academy student. Wearing glasses over green eyes, his intricate staff and a crystal amulet tucked under his vest are the only weapons and/or magitech visible.",,,,,Belonging
Flynn Hyacinthus,181544205796114433,1362102466824634624,fd37076f-b3f0-4f71-8db9-f8981ae29454,https://i.imgur.com/tLn1Thc.png,,https://docs.google.com/spreadsheets/d/1f-ARXQnbeS_UvCXAkttTGyOmaR6tJL-zdWfNFCNpWRM/edit?usp=sharing,"★ Rogue
★ Orator 
★ Dancer
4 Empath
1 Guardian",#FFBF00,35,Kor'Tarion - Tradesfair,,"Flynn stands roughly around 5'5 (165cm), decorated in noble styled clothing and different jewelry. On top of his head is a pair of cat ears with tuffs of fluff coming out of them. A large, fluffy tail that often tucked beneath his cloak. His hair a natural blonde, being normally unkempt despite his best efforts. An aura of confidence and chivalry comes from him and his actions. A smile always present on his face.",Goldhearted Faerie,"**Heartache:** - Status Plus (Poison) 
**Sunburn:** - Status Plus (Enraged)
**Duet's Finale:** - World Savior
**Bonded Bracelets:** - With Orion
**Petals of Matrimony**
**Duet's Accompaniment:** Lion's Health",,"-Born and raised in Tradefair to a poor family
-Worked under a noble family as their servant and learned to dance there
-Left the house when he came of age and worked as a mercenary against L.U.T
-Now is apart of the Trueheart Coalition and working to become a noble in Tradefair
-Doesn't have his soul treasure, has his past lover's soul treasure inside him instead",Chivalry
Forest Smith,80826834912018432,,12af378a-a507-4ae2-889f-25f09dcddb39,https://i.imgur.com/RfqSUL1.jpeg,,https://docs.google.com/spreadsheets/d/1UOZ0iTVMaDHXBzwNa0_qgrv68MvreagllCtuFfkY_eI/edit?usp=sharing,"3 | Tinkerer
1 | Loremaster
1 | Gourmet",,5,Terra: Silver Rock (South Rock),,"Standing at roughly 5'11"" in Height. Though, to some, they might be seen as shorter due to their terrible posture. Forest is one of a decent few who have partaken in extensive body modification, with his Image particularly looking like a spotted hyena. His hair is gray and his eyes are green, other than the right eye which has gone gray from blindness and injury. He is often seen to be wearing bland, cheap, yet comfortable attire. Be it large T's, sweatpants, or hoodies, all at most have two colors each if they aren't just black. Forest can also be seen with a large case and a backpack on his back.",Old Transport: Old Toyota SUV,,,,Belonging
Fuji Iwai,186680561501339651,1361882729096024064,2297709f-6fd5-4be3-a3dc-3a06e23cb1ac,https://i.imgur.com/q53tM0N.jpeg,,https://docs.google.com/spreadsheets/d/1-dJ1Va0d_kNbWhgXvE8Hh2cDh4MUEWiQFnIWI9cmTqg/edit?usp=sharing,"Guardian 1, Weaponmaster 3, Elementalist 1",,5,"Aldistir, Twin Peaks",,"Fuji stands at slightly below average 5'6. She has emerald green eyes and hair like snow, she also has small animal ears on the back of her head. her body wiry and pale, strength that may have once been there seems barely a specter.

Her wings are truly the sorriest sight to see, feathers burned and plucked deliberately with seemingly regular intervals. The pride and joy of any bird, what helps them fly, has been clipped. Now only serving as a reminder.

Her face is surprisingly clean. Her forearms are covered in scars and burns. All of which she hides underneath some leather bracers. Her feet are scarred too. Still bearing some punishment from the day she was forced to flee on foot instead of flying away.","Elemental Soul, Wind",,,"Fuji Iwai was born in Twin Peaks, to a nomadic group of Birdlike Yokai.

5 years ago, during an attack on her nomadic family, she was captured and enslaved by Sakura the Skalded.

Her wings were clipped to prevent escape, and also for the madman's amusement, being a fan of irony. Instead of being used as an experiment, she was tasked with handling toxic reagents.

This exposure to dangerous chemical mixtures and general maltreatment caused her to lose most of her memory.

At a point in her captivity, she was given the call of the edge.  In a spur of decisiveness, she ran, as far as she could. She followed her urge, hoping it would bring her safety.

She was cornered at the edge of a cliff, was she forced to make the choice of life in servitude, or freedom no matter the cost. With a scared breath, and the yelling of her master behind her, she stepped off the ledge.

Before she could meet her demise, she was swallowed by a realmstorm. Her life starting a new chapter.",Liberation
GARGOYLE,403085354191552514,,2754e2a8-7ae2-4780-89c5-34d64a5af72e,https://cdn.discordapp.com/attachments/1316681120477216780/1318016098519613471/2141620_LgglAOCo.png?ex=6760c9a5&is=675f7825&hm=b13c19d4cc2c7ff07d9760566d14f7e50a1b066444a1dc9d2afe4ec50b2e0943&,,https://docs.google.com/spreadsheets/d/1ShLDfJ0Gs8NPM6dSu_HfxxJhHj-sEJkBsk7TWAbpFpU/edit?gid=0#gid=0,Loremaster 2 Orator 1 Chimerist 2,,5,,,A purple haired young man with plant features and a burn scar on one side of his face.,Arboreal,,,,Curiosity
Gabriel Moonfallen,452728022903291934,1318426861323288576,18d7770f-5431-4fbc-b7d7-2bbfd341e5e9,https://i.imgur.com/pVu6dW6.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1305553854313529344,https://docs.google.com/spreadsheets/d/1xkVap4_iyL1R7jg4MY2oFdk6q99DIlTXk4g64mjGEOg/edit?usp=sharing,"Mutant 10
Weaponmaster 1
Tinkerer 1",,12,"The Gwaed Forest, Kor'Tarion",,"A six foot lean androgynous person, covered all over in white feathers with two large white wings on their back. They have clothing that covers part of their head and neck. Their chest is mostly exposed (they have a male body) and they have a skirt made out of their own feathers down to knee length. They have bird like claws instead of hands and feet.",Flight,,,,Understanding
Gabu,365605862615810049,1363301501568815104,9ef442d0-72e8-4ed5-ae7c-ef6c7c0dff36,https://i.postimg.cc/zfShDjDZ/Gift-Hat-Full.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1363301359776170135,"[The broken do not yearn for more. In want, in bloom, as we rise by reaching.](https://docs.google.com/spreadsheets/d/1ePv5OUvq3tGibPqlx-xQb0tBk7K5yfC2c0oCRx-PdqA/edit?usp=sharing)","Rogue [★]
Esper [★]
Weaponmaster [★]
Lightblade [★]",#FFFFFF,40,"Kor'Tarion, The Mirland Ocean","Sir Gabu, First Knight of Dryholde","The Protector of the Mirland Coast takes on the appearance of a young man wearing flowing clothes, with white hair and red eyes. What remains of his demonic origin are just his sharp, sharklike teeth - all in all, he looks like a pretty normal guy!

He's usually carrying a kite or two on him, since he loves flying them with friends!","Elemental Soul (Air, weak to Bolt)","- Bzzt Amulet (Accessory, Resistance to Bolt)
- Sea Trickster’s Robe (Combat Tunic, Marked-Dazed)
- Domain: Chaotic Winds (Accessory, briefly gain flight after dealing Air damage)
- Domain: Water Currents (Accessory, Frostbite - Ice, Slow)
- Hull Breacher (Heavy one-handed weapon, [MIG+MIG]+1; [HR+11] Dark damage, Symbiotic Weapon)
- Friend's Hat (Accessory, Reassuring)
- Demonsteel Claws (Dagger one-handed weapon, [DEX+MIG]+1; [HR+6] Dark damage, [Soulspeed](<https://discord.com/channels/1169852846083153941/1188741294793691186/1323766516117671977>))
- Lead Promise (Dagger one-handed weapon, [DEX+DEX]+1; [HR+7] Poison damage, World Savior)
- Soulbite (Dagger one-handed weapon, [DEX+MIG]+1; [HR+8] Physical damage, Status Plus: enraged)
- Tarnished Sharknife (Dagger one-handed weapon, [DEX+DEX]+2; [HR+6] Light damage, Specialist: daggers
- In Want, In Bloom (Sword one-handed weapon, [DEX+MIG]+2; [HR+10] Light damage, Weapon Up: melee)
- Ugly Duckling's Golden Feather",,"- Formerly the incarnation of the demon of Envy, whose essence was tampered with by the Dream Weaver to create something less dangerous
- He spent 72 years claiming a semblance of humanity, eventually making a name for himself as Gabu, protector of the Mirland Coast
- Eventually, to save a friend they turned back into his old form, temporarily regaining his more demonic and envious persona.
- During the confrontation with Loftur, he showed his best self and reclaimed his Gabu-ness.
- Was finally turned into *something more* by the Queen of Hearts, Song-5.",Kindness
